-- PASTED DIRECTLY FROM http://en.wikipedia.org/wiki/List_of_cities_and_towns_in_India --
Achabal 	Jammu and Kashmir 	N.A.C 	5,834 	
Pilibhit 	Uttar Pradesh 	M.B 	124,245
Pilkhuwa 	Uttar Pradesh 	M.B 	66,907
Pindwara 	Rajasthan 	M 	20,765
Pinjore 	Haryana 	UA 	29,609
Pipar City 	Rajasthan 	M 	32,735
Pipariya 	Madhya Pradesh 	UA 	44,378
Piro 	Bihar 	N.A 	25,811
Pithampur 	Madhya Pradesh 	N.P 	68,080
Pithapuram 	Andhra Pradesh 	M 	50,103
Pithoragarh 	Uttarakhand 	M.B 	44,964
Pollachi 	Tamil Nadu 	UA 	128,458
Polur 	Tamil Nadu 	T.P 	25,505
Pondicherry* 	Puducherry 	UA 	505,959
Ponkunnam 	Kerala 	S.T.C 	26,121
Ponnani 	Kerala 	M 	87,495
Ponneri 	Tamil Nadu 	T.P 	24,309
Ponnur 	Andhra Pradesh 	M 	57,640
Porbandar 	Gujarat 	UA 	197,382
Porsa 	Madhya Pradesh 	M 	33,103
Port Blair* 	Andaman and Nicobar Islands 	M.Cl 	99,984
Powayan 	Uttar Pradesh 	N.P 	23,406
Prantij 	Rajasthan 	M 	22,282
Pratapgarh 	Rajasthan 	M 	35,422
Pratapgarh 	Tripura 	C.T 	26,837
Prithvipur 	Madhya Pradesh 	N.P 	22,535
Proddatur 	Andhra Pradesh 	M 	150,309
Pudukkottai 	Tamil Nadu 	M 	109,217
Pudupattinam 	Tamil Nadu 	C.T 	20,901
Pukhrayan 	Uttar Pradesh 	M.B 	20,107
Pulgaon 	Maharashtra 	M.Cl 	36,522
Puliyankudi 	Tamil Nadu 	M 	60,080
Punalur 	Kerala 	M 	47,235
Punch 	Jammu and Kashmir 	M.B 	(2011)40,987
Pune 	Maharashtra 	UA 	3,760,636
Punjaipugalur 	Tamil Nadu 	T.P 	20,309
Punganur 	Andhra Pradesh 	N.P 	44,314
Puranpur 	Uttar Pradesh 	M.B 	37,233
Purna 	Maharashtra 	M.Cl 	33,225
Puri 	Odisha 	M 	157,837
Purnia 	Bihar 	M.Corp. 	197,211
Purquazi 	Uttar Pradesh 	UA 	23,599
Purulia 	West Bengal 	M 	113,806
Purwa 	Uttar Pradesh 	N.P 	21,271
Pusad 	Maharashtra 	M.Cl 	67,116
Puthooru 	Karnataka 	T.M.C 	48,070
Puthuppally 	Kerala 	M 	18,850
Puttur 	Andhra Pradesh 	C.T 	29,436
Q
View of Quilandy railway station
Name of City/Town 	Name of State 	Classification 	Population (2001)
Qadian 	Punjab 	UA 	22,001
Quilandy 	Kerala 	M 	68,982
R
G.D.Lang Institution, Raghunathpur, Purulia, West Bengal.
View of Ranchi from Ranchi Hills
Main building of NIT Raipur
Main entrance of Rourkela railway station
Athletic Stadium, Sector-6, Rohtak
View of NTPC in Ramagundam
Jaipur Express at Ratlam Railway Station
Rampur Raza Library in Rampur
A Dargah in Raichur
Rewa Kund in Rewa
Name of City/Town 	Name of State 	Classification 	Population (2001)
Rabakavi Banahatti 	Karnataka 	CMC 	70,248
Radhanpur 	Gujarat 	M 	32,191
Rae Bareli 	Uttar Pradesh 	M.B 	169,333
Rafiganj 	Bihar 	N.A 	24,992
Raghogarh-Vijaypur 	Madhya Pradesh 	M 	49,173
Raghunathpur 	West Bengal 	M 	21,932
Raghunathganj 	West Bengal 	M 	3,46,854
Rahatgarh 	Madhya Pradesh 	N.P 	25,215
Raichuri 	Maharashtra 	M.Cl 	34,476
Raayachuru 	Karnataka 	CMC 	207,421
Raiganj 	West Bengal 	UA 	175,047
Raigarh 	Chhattisgarh 	UA 	115,908
Ranipet 	Tamil Nadu 	UA 	262,346
Raikot 	Punjab 	M.Cl 	24,769
Raipur* 	Chhattisgarh 	UA 	700,113
Rairangpur 	Odisha 	N.A.C 	21,896
Raisen 	Madhya Pradesh 	M 	35,702
Raisinghnagar 	Rajasthan 	M 	27,736
Rajagangapur 	Odisha 	M 	43,594
Rajahmundry 	Andhra Pradesh 	UA 	413,616
Rajakhera 	Rajasthan 	M 	28,349
Rajaldesar 	Rajasthan 	M 	22,836
Rajam 	Andhra Pradesh 	C.T 	23,424
Rajampet 	Andhra Pradesh 	M 	109,575
Rajapalayam 	Tamil Nadu 	M 	122,307
Rajauri 	Jammu and Kashmir 	N.A.C 	(2011) /41,552
Rajgarh (Alwar) 	Rajasthan 	M 	25,009
Rajgarh (Churu) 	Rajasthan 	UA 	51,640
Rajgarh 	Madhya Pradesh 	N.P 	23,937
Rajgir 	Bihar 	N.A 	33,738
Rajkot 	Gujarat 	UA 	1,606,745(2012)
Rajnandgaon 	Chhattisgarh 	M.Corp. 	143,770
Rajpipla 	Gujarat 	M 	34,923
Rajpura 	Punjab 	M.Cl 	82,956
Rajsamand 	Rajasthan 	M 	55,687
Rajula 	Gujarat 	M 	32,395
Rajura 	Maharashtra 	M.Cl 	25,843
Ramachandrapuram 	Andhra Pradesh 	M 	41,370
Ramagundam 	Andhra Pradesh 	UA 	237,686
Raamanagara 	Karnataka 	CMC 	79,394
Ramanathapuram 	Tamil Nadu 	M 	62,050
Raamadurga 	Karnataka 	UA 	36,649
Rameshwaram 	Tamil Nadu 	T.P 	37,968
Ramganj Mandi 	Rajasthan 	M 	30,973
Ramngarh 	Jharkhand 	UA 	110,496
Ramngarh 	Rajasthan 	M 	28,458
Ramnagar 	Bihar 	N.A 	38,554
Ramnagar 	Uttarakhand 	M.B 	46,205
Rampur 	Uttar Pradesh 	M.B 	281,494
Rampur Maniharan 	Uttar Pradesh 	N.P 	24,844
Rampur Maniharan 	Uttar Pradesh 	N.P 	24,844
Rampura Phul 	Punjab 	UA 	44,665
Rampurhat 	West Bengal 	M 	50,613
Ramtek 	Maharashtra 	M.Cl 	22,516
Ranaghat 	West Bengal 	UA 	145,285
Ranavav 	Gujarat 	UA 	29,645
Ranchi* 	Jharkhand 	UA 	863,495
Rangia 	Assam 	M.B 	25,151
Rania 	Haryana 	M.C 	20,961
Ranibennur 	Karnataka 	CMC 	89,618
Rapar 	Gujarat 	M 	23,057
Rasipuram 	Tamil Nadu 	M 	46,330
Rasra 	Uttar Pradesh 	M.B 	29,238
Ratangarh 	Rajasthan 	M 	63,486
Rath 	Uttar Pradesh 	M.B 	55,950
Ratia 	Haryana 	M.C 	23,826
Ratlam 	Madhya Pradesh 	UA 	14,54,483 (2011)
Ratnagiri 	Maharashtra 	M.Cl 	70,383
Rau 	Madhya Pradesh 	N.P 	20,855
Raurkela 	Odisha 	UA 	484,874
Raver 	Maharashtra 	M.Cl 	25,993
Rawatbhata 	Rajasthan 	M 	34,690
Rawatsar 	Rajasthan 	M 	28,387
Raxaul Bazar 	Bihar 	M 	41,610
Rayachoti 	Andhra Pradesh 	C.T 	72,297
Rayadurg 	Andhra Pradesh 	M 	54,125
Rayagada 	Odisha 	M 	57,759
Reengus 	Rajasthan 	M 	22,932
Rehli 	Madhya Pradesh 	M 	25,890
Renigunta 	Andhra Pradesh 	C.T 	23,862
Renukoot 	Uttar Pradesh 	UA 	66,597
Reoti 	Uttar Pradesh 	N.P 	22,082
Repalle 	Andhra Pradesh 	M 	42,539
Revelganj 	Bihar 	M 	34,042
Rewa 	Madhya Pradesh 	M.Corp. 	183,274
Rewari 	Haryana 	M.Cl 	100,684
Rishikesh 	Uttarakhand 	UA 	78,805
Risod 	Maharashtra 	M.Cl 	27,516
Robertsganj 	Uttar Pradesh 	M.B 	32,243
Robertson Pet 	Karnataka 	UA 	157,084
Rohtak 	Haryana 	M.Corp. 	294,577
Ron 	Karnataka 	T.P 	21,643
Roorkee 	Uttarakhand 	UA 	115,278
Rosera 	Bihar 	M 	27,492
Rudauli 	Uttar Pradesh 	M.B 	36,776
Rudrapur 	Uttarakhand 	M.B 	88,676
Rudrapur 	Uttar Pradesh 	N.P 	26,683
Rupnagar 	Punjab 	M.Cl 	49,159
S
SIT(siliguri Institute of Technology), Siliguri, West Bengal
Siliguri, (SIEM)
Streets of Surat
A Township in Siliguri, West Bengal.
View of Dal Lake and the city of Srinagar
Areal view of Salem City
Watercolor showing The Ganges Canal in Saharanpur
Walchand College of Engineering in Sangli
A view of College Sagar Institute of Research, Technology & Science in Sagar
A Railcar running between Shimoga and Talaguppa
Areal view of Shillong City
View of Main street in Satna City during early houres
Sambalpur Railway station in the lights of dark
View of Silchar Airport
Sambalpur Railway station in the lights of dark
Outside view of Sitapur Railway
Madhav National Park1 in Shivpuri
Toy train in Shimla running between Shimla and Kalka
Watercolor of Rashyatra during Rasotsav in Shantipur
View of Mausolée de Sher Shah Suri à Sasaram in Sasaram
Busy Streets of Sivakasi, Small Japan
View of RTC complex in Srikakulam
View of Satara City at sunset, from Charbhinti
View of the Satpura Dam
Pillalamarri, one of the oldest Hindu Temples in Suryapet
Name of City/Town 	Name of State 	Classification 	Population (2001)
Sabalgarh 	Madhya Pradesh 	UA 	34,039
Sadabad 	Uttar Pradesh 	N.P 	31,742
Sadalaga 	Karnataka 	T.P 	20,202
Sadasivpet 	Andhra Pradesh 	M 	36,334
Sadri 	Rajasthan 	M 	24,413
Sadulshahar 	Rajasthan 	M 	22,326
Sadulpur 	Rajasthan 	M 	1,22,326
Safidon 	Haryana 	M.C 	27,541
Safipur 	Uttar Pradesh 	N.P 	22,378
Sagar 	Madhya Pradesh 	UA 	308,922
Sagara 	Karnataka 	T.M.C 	50,131
Sagwara 	Rajasthan 	M 	31,127
Saharanpur 	Uttar Pradesh 	M.B 	455,754
Saharsa 	Bihar 	N.T 	125,167
Sahaspur 	Uttar Pradesh 	N.P 	22,606
Sahaswan 	Uttar Pradesh 	M.B 	58,184
Sahawar 	Uttar Pradesh 	N.P 	20,470
Sahibganj 	Jharkhand 	M 	80,154
Sahjanwa 	Uttar Pradesh 	N.P 	25,107
Saidpur 	Uttar Pradesh 	N.P 	21,568
Saiha 	Mizoram 	N.T 	19,731
Sailu 	Maharashtra 	M.Cl 	39,851
Sainthia 	West Bengal 	M 	39,145
Sakaleshapura 	Karnataka 	T.M.C 	23,176
Sakti 	Chhattisgarh 	N.P 	20,213
Salaya 	Gujarat 	M 	26,875
Salem 	Tamil Nadu 	UA 	751,438
Salur 	Andhra Pradesh 	M 	48,354
Samalkha 	Haryana 	M.C 	29,866
Samalkot 	Andhra Pradesh 	M 	53,602
Samana 	Punjab 	M.Cl 	46,592
Samastipur 	Bihar 	UA 	61,998
Sambalpur 	Odisha 	UA 	226,469
Sambhal 	Uttar Pradesh 	M.B 	182,478
Sambhar 	Rajasthan 	M 	22,293
Samdhan 	Uttar Pradesh 	N.P 	25,327
Samthar 	Uttar Pradesh 	M.B 	20,217
Sanand 	Gujarat 	M 	32,417
Sanawad 	Madhya Pradesh 	M 	34,114
Sanchore 	Rajasthan 	M 	25,884
Sarsod 	Haryana 	G.P 	4,630
Sindagi 	Karnataka 	T.M.C. 	23,234
Sandi 	Uttar Pradesh 	M.B 	23,234
Sandila 	Uttar Pradesh 	M.B 	48,899
Sandur 	Karnataka 	T.P 	27,614
Sangamner 	Maharashtra 	M.Cl 	61,958
Sangareddy 	Andhra Pradesh 	M 	57,113
Sangaria 	Rajasthan 	M 	34,537
Sangli 	Maharashtra 	UA 	447,774
Sangole 	Maharashtra 	M.Cl 	28,116
Sangrur 	Punjab 	M.Cl 	77,989
Sankarankoil 	Tamil Nadu 	M 	53,606
Sankari 	Tamil Nadu 	T.P 	27,454
Sankeshwara 	Karnataka 	T.M.C 	32,511
Santipur 	West Bengal 	M 	138,235
Sarangpur 	Madhya Pradesh 	M 	32,294
Sardarshahar 	Rajasthan 	M 	81,394
Sardhana 	Uttar Pradesh 	M.B 	48,314
Sarni 	Madhya Pradesh 	M 	95,012
Sasaram 	Bihar 	M 	131,172
Sasvad 	Maharashtra 	M.Cl 	26,689
Satana 	Maharashtra 	M.Cl 	32,561
Satara 	Maharashtra 	M.Cl 	108,048
Satna 	Madhya Pradesh 	UA 	229,307
Sathyamangalam 	Tamil Nadu 	M 	33,722
Sattenapalle 	Andhra Pradesh 	M 	51,404
Sattur 	Tamil Nadu 	M 	31,443
Saunda 	Jharkhand 	C.T 	85,075
Soudaththi-Yellamma 	Karnataka 	T.M.C 	38,155
Sausar 	Madhya Pradesh 	N.P 	24,312
Savarkundla 	Gujarat 	M 	73,774
Savanur 	Karnataka 	T.M.C 	35,563
Savner 	Maharashtra 	M.Cl 	26,712
Sawai Madhopur 	Rajasthan 	UA 	101,997
Sawantwadi 	Maharashtra 	M.Cl 	22,901
Sedam 	Karnataka 	T.M.C 	31,539
Sehore 	Madhya Pradesh 	UA 	92,518
Sendhwa 	Madhya Pradesh 	M 	48,941
Seohara 	Uttar Pradesh 	UA 	47,575
Seoni 	Madhya Pradesh 	M 	89,801
Seoni-Malwa 	Madhya Pradesh 	M 	26,202
Shahabad 	Karnataka 	UA 	66,550
Shahabad, Hardoi 	Uttar Pradesh 	M.B 	67,751
Shahabad, Rampur 	Uttar Pradesh 	N.P 	32,370
Shahade 	Maharashtra 	M.Cl 	49,696
Shahbad 	Haryana 	M.C 	37,289
Shahdol 	Madhya Pradesh 	M 	78,624
Shahganj 	Uttar Pradesh 	M.B 	24,602
Shahjahanpur 	Uttar Pradesh 	UA 	321,885
Shahapura 	Karnataka 	T.M.C 	38,907
Shahpura 	Rajasthan 	M 	28,174
Shahpura 	Rajasthan 	M 	27,792
Shajapur 	Madhya Pradesh 	UA 	57,818
Shamgarh 	Madhya Pradesh 	N.P 	21,507
Shamli 	Uttar Pradesh 	M.B 	90,055
Shamsabad, Agra 	Uttar Pradesh 	M.B 	27,338
Shamsabad, Farrukhabad 	Uttar Pradesh 	N.P 	23,596
Shegaon 	Maharashtra 	M.Cl 	52,423
Sheikhpura 	Bihar 	M 	43,113
Shendurjana 	Maharashtra 	M.Cl 	21,083
Shenkottai 	Tamil Nadu 	M 	26,838
Sheoganj 	Rajasthan 	M 	24,789
Sheohar 	Bihar 	N.A 	21,262
Sheopur 	Madhya Pradesh 	UA 	58,342
Sherghati 	Bihar 	N.A 	32,526
Sherkot 	Uttar Pradesh 	M.B 	52,880
Shiggaavi 	Karnataka 	T.P 	24,327
Shikapur 	Karnataka 	T.M.C 	31,516
Shikarpur, Bulandshahr 	Uttar Pradesh 	M.B 	33,187
Shikohabad 	Uttar Pradesh 	M.B 	88,161
Shillong* 	Meghalaya 	UA 	267,662
Shimla* 	Himachal Pradesh 	UA 	144,975
Shivamogga 	Karnataka 	C.M.C 	274,352
Shirdi 	Maharashtra 	M.Cl 	26,184
Shirpur-Warwade 	Maharashtra 	M.Cl 	61,694
Shirur 	Maharashtra 	M.Cl 	26,999
Shishgarh 	Uttar Pradesh 	N.P 	20,684
Shivpuri 	Madhya Pradesh 	M 	146,892
Sholavandan 	Tamil Nadu 	T.P 	21,638
Sholingur 	Tamil Nadu 	T.P 	26,652
Shoranur 	Kerala 	M 	42,029
Surapura 	Karnataka 	T.M.C 	43,622
Shrigonda 	Maharashtra 	M.Cl 	26,324
Shrirampur 	Maharashtra 	UA 	88,761
Shree Rangapattana 	Karnataka 	T.M.C 	23,729
Shujalpur 	Madhya Pradesh 	M 	42,461
Siana 	Uttar Pradesh 	M.B 	38,999
Sibsagar 	Assam 	M.B 	53,854
Siddipet 	Andhra Pradesh 	M 	61,809
Sidhi 	Madhya Pradesh 	M 	45,700
Sidhpur 	Gujarat 	UA 	58,194
Sidhalaghatta 	Karnataka 	T.M.C 	41,098
Sihor 	Gujarat 	M 	46,960
Sihora 	Madhya Pradesh 	M 	37,870
Sikanderpur 	Uttar Pradesh 	N.P 	21,783
Sikandra Rao 	Uttar Pradesh 	M.B 	37,938
Sikandrabad 	Uttar Pradesh 	M.B 	69,867
Sikar 	Rajasthan 	UA 	185,925
Silao 	Bihar 	N.A 	20,177
Silapathar 	Assam 	T.C 	22,516
Silchar 	Assam 	UA 	184,105
Siliguri 	West Bengal 	M.Corp. 	1,572,000
Sillod 	Maharashtra 	M.Cl 	43,867
Silvassa* 	Dadra and Nagar Haveli 	C.T 	21,893
Simdega 	Jharkhand 	N.A 	33,981
Sindhagi 	Karnataka 	T.M.C 	27,732
Sindhanooru 	Karnataka 	T.M.C 	61,262
Singapur 	Andhra Pradesh 	C.T 	23,468
Singrauli 	Madhya Pradesh 	M.Corp. 	185,190
Sinnar 	Maharashtra 	M.Cl 	31,630
Sira 	Karnataka 	T.M.C 	50,088
Sircilla 	Andhra Pradesh 	M 	65,314
Sirhind Fatehgarh Sahib 	Punjab 	M.Cl 	49,825
Sirkali 	Tamil Nadu 	M 	32,228
Sirohi 	Rajasthan 	M 	35,544
Sironj 	Madhya Pradesh 	M 	42,179
Sirsa 	Haryana 	M.Cl 	160,735
Sirsaganj 	Uttar Pradesh 	UA 	28,212
Sirsi 	Karnataka 	UA 	65,335
Sirsi 	Uttar Pradesh 	N.P 	21,373
Sheraguppa 	Karnataka 	T.P 	42,919
Sitamarhi 	Bihar 	UA 	87,279
Sitapur 	Uttar Pradesh 	M.B 	151,908
Sitarganj 	Uttarakhand 	M.B 	22,027
Sivaganga 	Tamil Nadu 	UA 	40,220
Sivagiri 	Tamil Nadu 	T.P 	20,380
Sivakasi 	Tamil Nadu 	UA 	121,358
Siwan 	Bihar 	M 	109,919
Sohagpur 	Madhya Pradesh 	N.P 	22,339
Sohna 	Haryana 	M.C 	27,570
Sojat 	Rajasthan 	M 	38,883
Solan 	Himachal Pradesh 	M.Cl 	34,206
Solapur 	Maharashtra 	M.Corp. 	872,478
Sonamukhi 	West Bengal 	M 	27,354
Sonepur 	Bihar 	N.A 	33,490
Songadh 	Gujarat 	M 	22,431
Sonipat 	Haryana 	UA 	225,074
Sopore 	Jammu and Kashmir 	UA 	(2011)66,963
Soro 	Odisha 	N.A.C 	27,794
Soron 	Uttar Pradesh 	M.B 	26,678
Soyagaon 	Maharashtra 	C.T 	21,819
Sri Madhopur 	Rajasthan 	M 	28,492
Srikakulam 	Andhra Pradesh 	UA 	117,320
Srikalahasti 	Andhra Pradesh 	M 	70,854
Srinagar* 	Jammu and Kashmir 	UA 	style="text-align:right;"(2011)1,192,792
Shreenivaasapura 	Karnataka 	T.P 	22,959
Srisailam Project (Right Flank Colony) Township 	Andhra Pradesh 	C.T 	23,273
Srirampore 	West Bengal 		19500
Srivilliputhur 	Tamil Nadu 	M 	73,183
Suar 	Uttar Pradesh 	M.B 	26,149
Sugauli 	Bihar 	N.A 	31,432
Sujangarh 	Rajasthan 	M 	83,846
Sujanpur 	Punjab 	M.Cl 	21,815
Sultanganj 	Bihar 	N.A 	41,958
Sultanpur 	Uttar Pradesh 	M.B 	100,065
Sumerpur 	Rajasthan 	M 	31,482
Sumerpur 	Uttar Pradesh 	N.P 	24,661
Sunabeda 	Odisha 	N.A.C 	58,884
Sunam 	Punjab 	UA 	56,251
Sundargarh 	Odisha 	M 	38,421
Sundarnagar 	Himachal Pradesh 	M.Cl 	23,986
Supaul 	Bihar 	M 	54,085
Surandai 	Tamil Nadu 	T.P 	28,146
Surat 	Gujarat 	M.Corp. 	2,876,374
Suratgarh 	Rajasthan 	M 	58,119
Suri 	West Bengal 	M 	61,806
Suriyampalayam 	Tamil Nadu 	T.P 	21,923
Suryapet 	Andhra Pradesh 	UA 	94,585
T
Skyline of Thrissur City shot from Vilangan Hill.
Trivandrum
Apartments coming up in the outskirts of Trivandrum
View of Kaveri River and Srirangam Temple from Rock Fort Temple in Trichy city
Busy streets of Tirunelveli City
View of Masunda Lake in Thane city
View of the world famous Tirumala temple in Tirupati
Countryside viw of Tumkur
Sea front of Tuticorin port in 1913
Rajarajan Manimandapam during night in Thanjavur city
View of the majestic Arunchaleshvara Temple from the Red Mountain in Tiruvannamalai city
Name of City/Town 	Name of State 	Classification 	Population (2001)
Tadepalligudem 	Andhra Pradesh 	M 	102,622
Tadpatri 	Andhra Pradesh 	M 	86,843
Taki 	West Bengal 	M 	37,305
Talaja 	Gujarat 	M 	26,104
Talcher 	Odisha 	M 	34,998
Talegaon Dabhade 	Maharashtra 	M.Cl 	42,578
Thaalikote 	Karnataka 	T.M.C 	26,205
Taliparamba 	Kerala 	M 	67,507
Talode 	Maharashtra 	M.Cl 	25,036
Talwara 	Punjab 	C.T 	22,574
Tamluk 	West Bengal 	M 	45,830
Tanda 	Uttar Pradesh 	M.B 	83,467
Tanda 	Uttar Pradesh 	M.B 	40,013
Tandur 	Andhra Pradesh 	M 	57,941
Tanuku 	Andhra Pradesh 	UA 	72,970
Tarakeswar 	West Bengal 	M 	28,187
Tarana 	Madhya Pradesh 	N.P 	21,453
Taranagar 	Rajasthan 	M 	27,066
Taraori 	Haryana 	M.C 	22,201
Tarbha 	Odisha 	N.A.C. 	10,117
Tarikere 	Karnataka 	T.P 	34,066
Tarn Taran 	Punjab 	M.Cl 	55,787
Tasgaon 	Maharashtra 	M.Cl 	33,457
Tehri 	Uttarakhand 	M.B 	25,423
Tekkalakote 	Karnataka 	T.P 	23,583
Tenali 	Andhra Pradesh 	M 	153,756
Tenkasi 	Tamil Nadu 	M 	63,432
Tenu Dam-cum-Kathhara 	Jharkhand 	C.T 	20,441
Thergallu 	Karnataka 	T.P 	23,616
Tetri Bazar 	Uttar Pradesh 	M.B 	21,931
Tezpur 	Assam 	UA 	105,377
Thakurdwara 	Uttar Pradesh 	M.B 	35,371
Thammampatti 	Tamil Nadu 	T.P 	20,751
Thana Bhawan 	Uttar Pradesh 	N.P 	31,161
Thane 	Maharashtra 	UA 	1,818,872
Thanesar 	Haryana 	UA 	122,319
Thangadh 	Gujarat 	M 	36,880
Thanjavur 	Tamil Nadu 	M 	215,314
Tharad 	Gujarat 	M 	22,815
Tharamangalam 	Tamil Nadu 	T.P 	22,144
Tharangambadi 	Tamil Nadu 	T.P 	20,843
Theni Allinagaram 	Tamil Nadu 	M 	85,498
Thirumangalam 	Tamil Nadu 	M 	43,631
Thirunindravur 	Tamil Nadu 	T.P 	29,332
Thiruparappu 	Tamil Nadu 	T.P 	21,736
Thirupuvanam 	Tamil Nadu 	T.P 	21,589
Thiruthuraipoondi 	Tamil Nadu 	M 	22,905
Thiruvalla 	Kerala 	M 	56,837
Thiruvallur 	Tamil Nadu 	M 	45,732
Trivandrum 	Kerala 	UA 	1,189,635
Thiruvarur 	Tamil Nadu 	M 	56,341
Thodupuzha 	Kerala 	M 	46,246
Thoothukudi 	Tamil Nadu 	UA 	410,760[3]
Thoubal 	Manipur 	M.Cl 	41,174
Thrissur 	Kerala 	UA 	330,122
Thuraiyur 	Tamil Nadu 	M 	31,005
Tikamgarh 	Madhya Pradesh 	M 	68,426
Tikota 	Karnataka 	T.P. 	28,426
Tilda Newra 	Chhattisgarh 	UA 	26,909
Tilhar 	Uttar Pradesh 	M.B 	52,911
Talikota 	Karnataka 	T.P. 	52,911
Tindivanam 	Tamil Nadu 	M 	67,737
Tinsukia 	Assam 	UA 	108,123
Thipatooru 	Karnataka 	T.M.C 	53,104
Tirora 	Maharashtra 	M.Cl 	22,529
Tiruchendur 	Tamil Nadu 	UA 	87,101
Tiruchengode 	Tamil Nadu 	M 	80,187
Tiruchirappalli 	Tamil Nadu 	UA 	866,354
Tirukalukundram 	Tamil Nadu 	T.P 	23,715
Tirukkoyilur 	Tamil Nadu 	T.P 	27,197
Tirunelveli 	Tamil Nadu 	UA 	433,352
Tirupathur 	Tamil Nadu 	T.P 	23,559
Tirupathur 	Tamil Nadu 	M 	60,876
Tirupati 	Andhra Pradesh 	UA 	303,521
Tiruppur 	Tamil Nadu 	M.Corp 	550,826
Tirur 	Kerala 	M 	53,654
Tiruttani 	Tamil Nadu 	T.P 	38,314
Tiruvannamalai 	Tamil Nadu 	M 	280,569
Tiruvethipuram 	Tamil Nadu 	M 	35,201
Tiruvuru 	Andhra Pradesh 	M 	35,201
Tirwaganj 	Uttar Pradesh 	N.P 	20,231
Titlagarh 	Odisha 	UA 	30,273
Tittakudi 	Tamil Nadu 	T.P 	20,735
Todabhim 	Rajasthan 	M 	20,845
Todaraisingh 	Rajasthan 	M 	21,217
Tohana 	Haryana 	M.C 	51,519
Tonk 	Rajasthan 	M.Cl 	135,689
Tuensang 	Nagaland 	T.C 	29,772
Tuljapur 	Maharashtra 	M.Cl 	31,706
Tulsipur 	Uttar Pradesh 	N.P 	21,243
Tumkur 	Karnataka 	C.M.C 	248,929
Tumsar 	Maharashtra 	M.Cl 	42,021
Tundla 	Uttar Pradesh 	UA 	54,576
Tuni 	Andhra Pradesh 	M 	50,368
Tura 	Meghalaya 	M 	58,978
U
ISKON Temple in Ujjain
View of City Palace in Udaipur
Malpe Beach in Udupi
NMR train climbs in Udhagamandalam
Name of City/Town 	Name of State 	Classification 	Population (2001)
Uchgaon 	Maharashtra 	C.T 	22,548
Udaipur 	Rajasthan 	M.Cl 	389,438
Udaipur 	Tripura 	N.P 	21,758
Udaipurwati 	Rajasthan 	M 	27,843
Udgir 	Maharashtra 	M.Cl 	91,933
Udhagamandalam 	Tamil Nadu 	M 	93,987
Udhampur 	Jammu and Kashmir 	UA 	(2011) 182,778
Udumalaipettai 	Tamil Nadu 	M 	59,668
Udupi 	Karnataka 	UA 	127,124
Ugar 	Karnataka 	T.P 	39,287
Ujhani 	Madhya Pradesh 	M.B 	51,051
Ujjain 	Madhya Pradesh 	UA 	1986597 (2011)
Umarga 	Maharashtra 	M.Cl 	30,178
Umaria 	Madhya Pradesh 	M 	26,842
Umarkhed 	Maharashtra 	M.Cl 	34,059
Umarkote 	Odisha 	N.A.C 	24,859
Umbergaon 	Gujarat 	C.T 	21,684
Umred 	Maharashtra 	M.Cl 	49,577
Umreth 	Gujarat 	M 	32,191
Una 	Gujarat 	M 	51,261
Unjha 	Gujarat 	M 	53,876
Unnamalaikadai 	Tamil Nadu 	T.P 	20,666
Unnao 	Uttar Pradesh 	Sub-Metropolis 	644,662
Upleta 	Gujarat 	M 	55,438
Uran 	Maharashtra 	M.Cl 	23,251
Uran Islampur 	Maharashtra 	M.Cl 	58,330
Uravakonda 	Andhra Pradesh 	C.T 	31,856
Urmar Tanda 	Punjab 	M.Cl 	22,048
Usilampatti 	Tamil Nadu 	M 	30,601
Uthamapalayam 	Tamil Nadu 	T.P 	22,104
Uthiramerur 	Tamil Nadu 	T.P 	23,656
Utraula 	Uttar Pradesh 	M.B 	27,502
V
Mahanagar Seva Sadan Building in Vadodara
Areal view of Visakhapatnam city
View of Varanasi from Ganges
View of Vijayawada city
view of vellore fort in vellore city
View of Main building of CMC hospital in vellore city
Technology Tower Building of VIT University in Vellore City
Srimahalakshmi Golden Temple in vellore city
View of Vizianagaram town
Name of City/Town 	Name of State 	Classification 	Population (2001)
Vadakara 	Kerala 	UA 	124,083
Vadakkuvalliyur 	Tamil Nadu 	T.P 	24,023
Vadalur 	Tamil Nadu 	T.P 	26,016
Vadgaon Kasba 	Maharashtra 	M.Cl 	22,758
Vadipatti 	Tamil Nadu 	T.P 	21,833
Vadnagar 	Gujarat 	M 	25,033
Vadodara 	Gujarat 	UA 	1,491,045
Vaijapur 	Maharashtra 	M.Cl 	37,064
Vaikom 	Kerala 	M 	22,641
Valparai 	Tamil Nadu 	T.P 	95,107
Valsad 	Gujarat 	UA 	145,592
Vandavasi 	Tamil Nadu 	M 	29,610
Vaniyambadi 	Tamil Nadu 	UA 	103,950
Vapi 	Gujarat 	I.N.A 	23,844
Vapi 	Gujarat 	M 	71,406
Varanasi 	Uttar Pradesh 	UA 	1,203,961
Varkala 	Kerala 	M 	40,728
Vasai 	Maharashtra 	UA 	174,396
Vedaranyam 	Tamil Nadu 	T.P 	31,627
Vellakoil 	Tamil Nadu 	T.P 	34,438
Vellore 	Tamil Nadu 	M.corp 	756,045
Venkatagiri 	Andhra Pradesh 	C.T 	31,341
Veraval 	Gujarat 	UA 	158,032
